			Протокол прохода WK_00002 над изображением WK_00003 с шагом 1000 пикселей.


Имитация высоты полета на 30.0 м. Высота опорного изображения: 300 м.
----------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант            | Положение на       |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения          | опорном изображ.   |
----------------------------------------------------------------------------------------------------------------------
|   1   |       89205        |      655       |    46    |       32        |   Без искажений    |    [1137, 825]     |
|   2   |       89205        |      717       |    63    |       60        |   Без искажений    |    [1731, 832]     |
|   3   |       89205        |      789       |   102    |       85        |   Без искажений    |    [2490, 787]     |
|   4   |       89205        |      1293      |   104    |       97        |   Без искажений    |    [3133, 800]     |
|   5   |       89205        |      1677      |    88    |       72        |   Без искажений    |    [3779, 701]     |
|   6   |       89205        |      725       |    80    |       56        |   Без искажений    |    [1182, 1563]    |
|   7   |       89205        |      1010      |   168    |       161       |   Без искажений    |    [1880, 1492]    |
|   8   |       89205        |      1966      |   215    |       205       |   Без искажений    |    [2505, 1455]    |
|   9   |       89205        |      1012      |   114    |       111       |   Без искажений    |    [3178, 1425]    |
|  10   |       89205        |      1186      |   111    |       104       |   Без искажений    |    [3769, 1395]    |
|  11   |       89205        |      1464      |   291    |       268       |   Без искажений    |    [1197, 2185]    |
|  12   |       89205        |      408       |    74    |       55        |   Без искажений    |    [1922, 2194]    |
|  13   |       89205        |      756       |    96    |       56        |   Без искажений    |    [2560, 2067]    |
|  14   |       89205        |      451       |    27    |       15        |   Без искажений    |    [3189, 1988]    |
|  15   |       89205        |      481       |    35    |       20        |   Без искажений    |    [3749, 2072]    |
|  16   |       89205        |      450       |    54    |       48        |   Без искажений    |    [1230, 2844]    |
|  17   |       89205        |      162       |    40    |       37        |   Без искажений    |    [1747, 2806]    |
|  18   |       89205        |      189       |    11    |        5        |   Без искажений    |    [2373, 2893]    |
|  19   |       89205        |      427       |    44    |       40        |   Без искажений    |    [3291, 2735]    |
|  20   |       89205        |      728       |    82    |       70        |   Без искажений    |    [3885, 2698]    |
----------------------------------------------------------------------------------------------------------------------
|  21   |       89205        |      528       |    37    |       29        |  Поворот 60 град   |    [1119, 826]     |
|  22   |       89205        |      507       |    51    |       51        |  Поворот 60 град   |    [1775, 810]     |
|  23   |       89205        |      611       |    57    |       56        |  Поворот 60 град   |    [2455, 802]     |
|  24   |       89205        |      855       |    77    |       69        |  Поворот 60 град   |    [3162, 790]     |
|  25   |       89205        |      1306      |    64    |       59        |  Поворот 60 град   |    [3778, 702]     |
|  26   |       89205        |      568       |    45    |       39        |  Поворот 60 град   |    [1179, 1560]    |
|  27   |       89205        |      800       |   113    |       112       |  Поворот 60 град   |    [1864, 1491]    |
|  28   |       89205        |      1547      |   139    |       134       |  Поворот 60 град   |    [2497, 1466]    |
|  29   |       89205        |      867       |    90    |       90        |  Поворот 60 град   |    [3187, 1419]    |
|  30   |       89205        |      1089      |    80    |       77        |  Поворот 60 град   |    [3774, 1398]    |
|  31   |       89205        |      1123      |   209    |       206       |  Поворот 60 град   |    [1191, 2204]    |
|  32   |       89205        |      321       |    53    |       42        |  Поворот 60 град   |    [1925, 2202]    |
|  33   |       89205        |      538       |    57    |       51        |  Поворот 60 град   |    [2577, 2120]    |
|  34   |       89205        |      328       |    17    |       15        |  Поворот 60 град   |    [3188, 2007]    |
|  35   |       89205        |      423       |    24    |       17        |  Поворот 60 град   |    [3747, 2052]    |
|  36   |       89205        |      406       |    42    |       38        |  Поворот 60 град   |    [1196, 2844]    |
|  37   |       89205        |      139       |    27    |       24        |  Поворот 60 град   |    [1750, 2745]    |
|  38   |       89205        |      115       |    7     |        4        |  Поворот 60 град   |    [2740, 2856]    |
|  39   |       89205        |      377       |    33    |       29        |  Поворот 60 град   |    [3265, 2699]    |
|  40   |       89205        |      502       |    56    |       53        |  Поворот 60 град   |    [3867, 2690]    |
----------------------------------------------------------------------------------------------------------------------
|  41   |       89205        |      552       |    30    |       24        | Поворот -120 град  |    [1140, 876]     |
|  42   |       89205        |      513       |    53    |       43        | Поворот -120 град  |    [1821, 840]     |
|  43   |       89205        |      603       |    68    |       67        | Поворот -120 град  |    [2453, 797]     |
|  44   |       89205        |      889       |    89    |       84        | Поворот -120 град  |    [3167, 780]     |
|  45   |       89205        |      1270      |    66    |       61        | Поворот -120 град  |    [3780, 705]     |
|  46   |       89205        |      582       |    46    |       40        | Поворот -120 град  |    [1179, 1560]    |
|  47   |       89205        |      824       |   132    |       121       | Поворот -120 град  |    [1864, 1498]    |
|  48   |       89205        |      1587      |   148    |       141       | Поворот -120 град  |    [2500, 1465]    |
|  49   |       89205        |      881       |    83    |       79        | Поворот -120 град  |    [3187, 1426]    |
|  50   |       89205        |      1070      |    83    |       81        | Поворот -120 град  |    [3774, 1387]    |
|  51   |       89205        |      1092      |   205    |       203       | Поворот -120 град  |    [1177, 2200]    |
|  52   |       89205        |      316       |    49    |       45        | Поворот -120 град  |    [1920, 2202]    |
|  53   |       89205        |      528       |    64    |       42        | Поворот -120 град  |    [2544, 2076]    |
|  54   |       89205        |      314       |    21    |       20        | Поворот -120 град  |    [3187, 2007]    |
|  55   |       89205        |      423       |    25    |       18        | Поворот -120 град  |    [3749, 2055]    |
|  56   |       89205        |      404       |    43    |       37        | Поворот -120 град  |    [1193, 2842]    |
|  57   |       89205        |      144       |    27    |       24        | Поворот -120 град  |    [1745, 2745]    |
|  58   |       89205        |      120       |    11    |        7        | Поворот -120 град  |    [2744, 2856]    |
|  59   |       89205        |      396       |    31    |       27        | Поворот -120 град  |    [3262, 2701]    |
|  60   |       89205        |      504       |    55    |       54        | Поворот -120 град  |    [3862, 2680]    |
----------------------------------------------------------------------------------------------------------------------
|  61   |       89205        |      653       |    46    |       41        |  Поворот 180 град  |    [1140, 831]     |
|  62   |       89205        |      744       |    54    |       46        |  Поворот 180 град  |    [1770, 833]     |
|  63   |       89205        |      810       |    95    |       78        |  Поворот 180 град  |    [2473, 795]     |
|  64   |       89205        |      1322      |   113    |       102       |  Поворот 180 град  |    [3133, 800]     |
|  65   |       89205        |      1713      |    87    |       77        |  Поворот 180 град  |    [3771, 703]     |
|  66   |       89205        |      736       |    70    |       57        |  Поворот 180 град  |    [1174, 1561]    |
|  67   |       89205        |      1021      |   175    |       163       |  Поворот 180 град  |    [1880, 1493]    |
|  68   |       89205        |      1942      |   217    |       206       |  Поворот 180 град  |    [2508, 1456]    |
|  69   |       89205        |      1042      |   123    |       117       |  Поворот 180 град  |    [3187, 1428]    |
|  70   |       89205        |      1231      |   116    |       107       |  Поворот 180 град  |    [3772, 1388]    |
|  71   |       89205        |      1460      |   284    |       256       |  Поворот 180 град  |    [1197, 2182]    |
|  72   |       89205        |      410       |    72    |       56        |  Поворот 180 град  |    [1916, 2192]    |
|  73   |       89205        |      765       |    88    |       53        |  Поворот 180 град  |    [2558, 2068]    |
|  74   |       89205        |      448       |    27    |       19        |  Поворот 180 град  |    [3173, 2078]    |
|  75   |       89205        |      472       |    38    |       21        |  Поворот 180 град  |    [3685, 2074]    |
|  76   |       89205        |      454       |    48    |       40        |  Поворот 180 град  |    [1226, 2850]    |
|  77   |       89205        |      154       |    42    |       39        |  Поворот 180 град  |    [1742, 2806]    |
|  78   |       89205        |      194       |    12    |        7        |  Поворот 180 град  |    [2740, 2856]    |
|  79   |       89205        |      426       |    43    |       37        |  Поворот 180 град  |    [3293, 2709]    |
|  80   |       89205        |      713       |    83    |       71        |  Поворот 180 град  |    [3896, 2699]    |
----------------------------------------------------------------------------------------------------------------------
|  81   |       89205        |      653       |    46    |       32        |    Яркость +30     |    [1137, 825]     |
|  82   |       89205        |      717       |    64    |       59        |    Яркость +30     |    [1729, 842]     |
|  83   |       89205        |      789       |   102    |       85        |    Яркость +30     |    [2490, 787]     |
|  84   |       89205        |      1297      |   103    |       96        |    Яркость +30     |    [3133, 800]     |
|  85   |       89205        |      1678      |    88    |       72        |    Яркость +30     |    [3779, 701]     |
|  86   |       89205        |      726       |    82    |       57        |    Яркость +30     |    [1184, 1563]    |
|  87   |       89205        |      1010      |   169    |       162       |    Яркость +30     |    [1880, 1492]    |
|  88   |       89205        |      1939      |   213    |       204       |    Яркость +30     |    [2504, 1455]    |
|  89   |       89205        |      1020      |   108    |       104       |    Яркость +30     |    [3182, 1430]    |
|  90   |       89205        |      1178      |   114    |       108       |    Яркость +30     |    [3764, 1395]    |
|  91   |       89205        |      1464      |   291    |       268       |    Яркость +30     |    [1197, 2185]    |
|  92   |       89205        |      406       |    74    |       55        |    Яркость +30     |    [1922, 2194]    |
|  93   |       89205        |      754       |    95    |       56        |    Яркость +30     |    [2560, 2067]    |
|  94   |       89205        |      452       |    27    |       15        |    Яркость +30     |    [3189, 1988]    |
|  95   |       89205        |      481       |    34    |       19        |    Яркость +30     |    [3749, 2072]    |
|  96   |       89205        |      450       |    54    |       48        |    Яркость +30     |    [1230, 2844]    |
|  97   |       89205        |      162       |    40    |       37        |    Яркость +30     |    [1747, 2806]    |
|  98   |       89205        |      198       |    8     |        5        |    Яркость +30     |    [2373, 2893]    |
|  99   |       89205        |      427       |    44    |       40        |    Яркость +30     |    [3291, 2735]    |
|  100  |       89205        |      734       |    82    |       70        |    Яркость +30     |    [3815, 2705]    |
----------------------------------------------------------------------------------------------------------------------
|  101  |       89205        |      1116      |    27    |       23        |    Яркость -30     |    [1107, 833]     |
|  102  |       89205        |      1125      |    41    |       36        |    Яркость -30     |    [1758, 785]     |
|  103  |       89205        |      914       |    92    |       78        |    Яркость -30     |    [2473, 792]     |
|  104  |       89205        |      1403      |    99    |       93        |    Яркость -30     |    [3133, 782]     |
|  105  |       89205        |      2129      |    57    |       51        |    Яркость -30     |    [3777, 702]     |
|  106  |       89205        |      770       |    79    |       57        |    Яркость -30     |    [1189, 1563]    |
|  107  |       89205        |      1043      |   156    |       148       |    Яркость -30     |    [1882, 1493]    |
|  108  |       89205        |      2023      |   208    |       200       |    Яркость -30     |    [2504, 1455]    |
|  109  |       89205        |      1094      |    98    |       91        |    Яркость -30     |    [3192, 1417]    |
|  110  |       89205        |      1255      |   112    |       105       |    Яркость -30     |    [3769, 1395]    |
|  111  |       89205        |      1624      |   289    |       264       |    Яркость -30     |    [1199, 2188]    |
|  112  |       89205        |      413       |    72    |       54        |    Яркость -30     |    [1922, 2194]    |
|  113  |       89205        |      760       |    95    |       56        |    Яркость -30     |    [2560, 2090]    |
|  114  |       89205        |      462       |    30    |       15        |    Яркость -30     |    [3171, 1988]    |
|  115  |       89205        |      642       |    30    |       16        |    Яркость -30     |    [3751, 2087]    |
|  116  |       89205        |      531       |    47    |       45        |    Яркость -30     |    [1235, 2843]    |
|  117  |       89205        |      1167      |    37    |       34        |    Яркость -30     |    [1742, 2806]    |
|  118  |       89205        |      254       |    6     |        3        |    Яркость -30     |    [2778, 2884]    |
|  119  |       89205        |      534       |    45    |       38        |    Яркость -30     |    [3284, 2707]    |
|  120  |       89205        |      871       |    72    |       57        |    Яркость -30     |    [3815, 2685]    |
----------------------------------------------------------------------------------------------------------------------
|  121  |       89205        |      936       |    38    |       33        |  Добавление шумов  |    [1124, 842]     |
|  122  |       89205        |      1054      |    51    |       49        |  Добавление шумов  |    [1725, 824]     |
|  123  |       89205        |      1113      |    51    |       46        |  Добавление шумов  |    [2465, 784]     |
|  124  |       89205        |      1806      |    78    |       71        |  Добавление шумов  |    [3135, 770]     |
|  125  |       89205        |      2100      |    59    |       50        |  Добавление шумов  |    [3773, 708]     |
|  126  |       89205        |      1143      |    53    |       35        |  Добавление шумов  |    [1194, 1551]    |
|  127  |       89205        |      1771      |   114    |       112       |  Добавление шумов  |    [1883, 1490]    |
|  128  |       89205        |      2445      |   108    |       106       |  Добавление шумов  |    [2521, 1457]    |
|  129  |       89205        |      1588      |    75    |       68        |  Добавление шумов  |    [3194, 1416]    |
|  130  |       89205        |      1803      |    73    |       66        |  Добавление шумов  |    [3765, 1390]    |
|  131  |       89205        |      1980      |   230    |       208       |  Добавление шумов  |    [1197, 2179]    |
|  132  |       89205        |      628       |    53    |       40        |  Добавление шумов  |    [1925, 2196]    |
|  133  |       89205        |      1451      |    61    |       37        |  Добавление шумов  |    [2568, 2094]    |
|  134  |       89205        |      862       |    9     |        8        |  Добавление шумов  |    [3271, 2011]    |
|  135  |       89205        |      830       |    15    |        8        |  Добавление шумов  |    [3747, 2055]    |
|  136  |       89205        |      734       |    36    |       29        |  Добавление шумов  |    [1232, 2842]    |
|  137  |       89205        |      223       |    27    |       26        |  Добавление шумов  |    [1743, 2792]    |
|  138  |       89205        |      357       |    11    |        4        |  Добавление шумов  |    [2325, 2920]    |
|  139  |       89205        |      576       |    25    |       22        |  Добавление шумов  |    [3273, 2692]    |
|  140  |       89205        |      1116      |    61    |       47        |  Добавление шумов  |    [3878, 2685]    |
----------------------------------------------------------------------------------------------------------------------
|  141  |       89205        |      403       |    30    |       23        | Размытость (5, 5)  |    [1124, 825]     |
|  142  |       89205        |      383       |    36    |       28        | Размытость (5, 5)  |    [1731, 857]     |
|  143  |       89205        |      336       |    46    |       40        | Размытость (5, 5)  |    [2487, 778]     |
|  144  |       89205        |      642       |    53    |       46        | Размытость (5, 5)  |    [3113, 777]     |
|  145  |       89205        |      810       |    42    |       38        | Размытость (5, 5)  |    [3778, 708]     |
|  146  |       89205        |      400       |    37    |       18        | Размытость (5, 5)  |    [1186, 1567]    |
|  147  |       89205        |      511       |    92    |       89        | Размытость (5, 5)  |    [1865, 1490]    |
|  148  |       89205        |      721       |    73    |       66        | Размытость (5, 5)  |    [2517, 1439]    |
|  149  |       89205        |      529       |    62    |       57        | Размытость (5, 5)  |    [3194, 1423]    |
|  150  |       89205        |      621       |    55    |       45        | Размытость (5, 5)  |    [3755, 1383]    |
|  151  |       89205        |      850       |   181    |       159       | Размытость (5, 5)  |    [1189, 2182]    |
|  152  |       89205        |      231       |    35    |       25        | Размытость (5, 5)  |    [1928, 2187]    |
|  153  |       89205        |      317       |    47    |       35        | Размытость (5, 5)  |    [2524, 2094]    |
|  154  |       89205        |      147       |    8     |        7        | Размытость (5, 5)  |    [3001, 2036]    |
|  155  |       89205        |      250       |    20    |       14        | Размытость (5, 5)  |    [3693, 2072]    |
|  156  |       89205        |      270       |    36    |       31        | Размытость (5, 5)  |    [1211, 2844]    |
|  157  |       89205        |      101       |    19    |       19        | Размытость (5, 5)  |    [1726, 2811]    |
|  158  |       89205        |      111       |    17    |       10        | Размытость (5, 5)  |    [2639, 2847]    |
|  159  |       89205        |      197       |    12    |       12        | Размытость (5, 5)  |    [3267, 2691]    |
|  160  |       89205        |      429       |    53    |       45        | Размытость (5, 5)  |    [3874, 2690]    |
----------------------------------------------------------------------------------------------------------------------
Разница высот опорного изображения и области видимости: 10.0 раз.
Из 160 сравнений найдено координат: 160. процент нахождения - 100.0 %

----------------------------------------------------------------------------------------------------------------------

Имитация высоты полета на 20.0 м. Высота опорного изображения: 300 м.
----------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант            | Положение на       |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения          | опорном изображ.   |
----------------------------------------------------------------------------------------------------------------------
|   1   |       89205        |      314       |    17    |       16        |   Без искажений    |     [978, 773]     |
|   2   |       89205        |      345       |    32    |       26        |   Без искажений    |    [1718, 743]     |
|   3   |       89205        |      175       |    31    |       24        |   Без искажений    |    [2376, 747]     |
|   4   |       89205        |      324       |    30    |       30        |   Без искажений    |    [3025, 661]     |
|   5   |       89205        |      451       |    37    |       35        |   Без искажений    |    [3671, 616]     |
|   6   |       89205        |      311       |    15    |       14        |   Без искажений    |    [1071, 1439]    |
|   7   |       89205        |      285       |    62    |       30        |   Без искажений    |    [1776, 1478]    |
|   8   |       89205        |      895       |    88    |       73        |   Без искажений    |    [2432, 1396]    |
|   9   |       89205        |      405       |    33    |       32        |   Без искажений    |    [3061, 1361]    |
|  10   |       89205        |      662       |   104    |       67        |   Без искажений    |    [3706, 1344]    |
|  11   |       89205        |      657       |   116    |       114       |   Без искажений    |    [1071, 2145]    |
|  12   |       89205        |      137       |    9     |        9        |   Без искажений    |    [1734, 2025]    |
|  13   |       89205        |      235       |    38    |       34        |   Без искажений    |    [2429, 2011]    |
|  14   |       89205        |      270       |    14    |       13        |   Без искажений    |    [3092, 1990]    |
|  15   |       89205        |      249       |    15    |       15        |   Без искажений    |    [3749, 2001]    |
|  16   |       89205        |      268       |    26    |       23        |   Без искажений    |    [1103, 2791]    |
|  17   |       89205        |      160       |    37    |       32        |   Без искажений    |    [1729, 2748]    |
|  18   |       89205        |       75       |    10    |        5        |   Без искажений    |    [2481, 2784]    |
|  19   |       89205        |      251       |    24    |       22        |   Без искажений    |    [3192, 2670]    |
|  20   |       89205        |      461       |    70    |       62        |   Без искажений    |    [3821, 2667]    |
----------------------------------------------------------------------------------------------------------------------
|  21   |       89205        |      193       |    13    |       12        |  Поворот 60 град   |     [970, 744]     |
|  22   |       89205        |      263       |    12    |       12        |  Поворот 60 град   |    [1716, 756]     |
|  23   |       89205        |      152       |    15    |       14        |  Поворот 60 град   |    [2361, 733]     |
|  24   |       89205        |      241       |    31    |       29        |  Поворот 60 град   |    [3051, 677]     |
|  25   |       89205        |      400       |    28    |       27        |  Поворот 60 град   |    [3681, 620]     |
|  26   |       89205        |      201       |    10    |        9        |  Поворот 60 град   |    [1032, 1437]    |
|  27   |       89205        |      212       |    35    |       18        |  Поворот 60 град   |    [1765, 1508]    |
|  28   |       89205        |      673       |    47    |       46        |  Поворот 60 град   |    [2409, 1397]    |
|  29   |       89205        |      284       |    32    |       32        |  Поворот 60 град   |    [3061, 1361]    |
|  30   |       89205        |      532       |    53    |       49        |  Поворот 60 град   |    [3718, 1318]    |
|  31   |       89205        |      484       |    84    |       83        |  Поворот 60 град   |    [1073, 2127]    |
|  32   |       89205        |      108       |    7     |        5        |  Поворот 60 град   |    [1671, 2042]    |
|  33   |       89205        |      101       |    22    |       16        |  Поворот 60 град   |    [2343, 2022]    |
|  34   |       89205        |      195       |    16    |       15        |  Поворот 60 град   |    [3110, 2012]    |
|  35   |       89205        |      274       |    19    |       14        |  Поворот 60 град   |    [3755, 2010]    |
|  36   |       89205        |      199       |    18    |       17        |  Поворот 60 град   |    [1074, 2762]    |
|  37   |       89205        |      136       |    24    |       20        |  Поворот 60 град   |    [1730, 2745]    |
|  38   |       89205        |       35       |    4     |        3        |  Поворот 60 град   |    [2446, 2781]    |
|  39   |       89205        |      193       |    17    |       17        |  Поворот 60 град   |    [3182, 2684]    |
