			Протокол прохода WK_00003 над изображением WK_00005 с шагом 1000 пикселей.


Имитация высоты полета на 50.0 м. Высота опорного изображения: 500 м.
-------------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант               | Отклонение         |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения             | от истины          |
-------------------------------------------------------------------------------------------------------------------------
|   1   |       227176       |      2065      |    10    |       10        |     Без искажений     |    [-549, -820]    |
|   2   |       227176       |      5048      |    11    |       10        |     Без искажений     |   [-1058, -723]    |
|   3   |       227176       |      5112      |    64    |       52        |     Без искажений     |   [-1824, -698]    |
|   4   |       227176       |      3591      |    17    |       14        |     Без искажений     |   [-2569, -553]    |
|   5   |       227176       |      2396      |    25    |       19        |     Без искажений     |   [-3069, -652]    |
|   6   |       227176       |      1997      |    16    |       13        |     Без искажений     |   [-685, -1400]    |
|   7   |       227176       |      2639      |    32    |       30        |     Без искажений     |   [-1256, -1329]   |
|   8   |       227176       |      4295      |    29    |       27        |     Без искажений     |   [-1866, -1316]   |
|   9   |       227176       |      3576      |    41    |       38        |     Без искажений     |   [-2560, -1231]   |
|  10   |       227176       |      3719      |    19    |       11        |     Без искажений     |   [-2994, -1253]   |
|  11   |       227176       |      2252      |    5     |        4        |     Без искажений     |   [-944, -1899]    |
|  12   |       227176       |      3310      |   116    |       113       |     Без искажений     |   [-1260, -1913]   |
|  13   |       227176       |      2076      |    50    |       46        |     Без искажений     |   [-1906, -1913]   |
|  14   |       227176       |      1581      |    24    |       18        |     Без искажений     |   [-2529, -1846]   |
|  15   |       227176       |      3898      |    31    |       27        |     Без искажений     |   [-3177, -1782]   |
|  16   |       227176       |       2        |    0     |        0        |     Без искажений     |     не найдено     |
|  17   |       227176       |       75       |    0     |        0        |     Без искажений     |     не найдено     |
|  18   |       227176       |      423       |    20    |        0        |     Без искажений     |     не найдено     |
|  19   |       227176       |      565       |    39    |        0        |     Без искажений     |     не найдено     |
|  20   |       227176       |      1256      |    20    |       20        |     Без искажений     |   [-3019, -2439]   |
-------------------------------------------------------------------------------------------------------------------------
|  21   |       227176       |      1677      |    20    |        0        |    Поворот 60 град    |     не найдено     |
|  22   |       227176       |      3573      |    9     |        7        |    Поворот 60 град    |   [-1072, -624]    |
|  23   |       227176       |      3024      |    67    |       56        |    Поворот 60 град    |   [-1812, -678]    |
|  24   |       227176       |      2790      |    4     |        3        |    Поворот 60 град    |   [-2356, -498]    |
|  25   |       227176       |      1817      |    19    |       14        |    Поворот 60 град    |   [-3122, -652]    |
|  26   |       227176       |      1518      |    14    |       14        |    Поворот 60 град    |   [-590, -1366]    |
|  27   |       227176       |      1935      |    30    |       26        |    Поворот 60 град    |   [-1300, -1336]   |
|  28   |       227176       |      3631      |    25    |       17        |    Поворот 60 град    |   [-1924, -1318]   |
|  29   |       227176       |      3151      |    42    |       41        |    Поворот 60 град    |   [-2531, -1238]   |
|  30   |       227176       |      2832      |    13    |       13        |    Поворот 60 град    |   [-3167, -1229]   |
|  31   |       227176       |      1592      |    4     |        0        |    Поворот 60 град    |     не найдено     |
|  32   |       227176       |      2605      |   115    |       111       |    Поворот 60 град    |   [-1269, -1913]   |
|  33   |       227176       |      1656      |    39    |       35        |    Поворот 60 град    |   [-1967, -1888]   |
|  34   |       227176       |      1122      |    31    |       24        |    Поворот 60 град    |   [-2533, -1846]   |
|  35   |       227176       |      2429      |    18    |       13        |    Поворот 60 град    |   [-3071, -1720]   |
|  36   |       227176       |       20       |    0     |        0        |    Поворот 60 град    |     не найдено     |
|  37   |       227176       |      132       |    38    |        0        |    Поворот 60 град    |     не найдено     |
|  38   |       227176       |      322       |    9     |        0        |    Поворот 60 град    |     не найдено     |
|  39   |       227176       |      252       |    8     |        0        |    Поворот 60 град    |     не найдено     |
|  40   |       227176       |      938       |    18    |       15        |    Поворот 60 град    |   [-3055, -2365]   |
-------------------------------------------------------------------------------------------------------------------------
|  41   |       227176       |      1656      |    19    |        0        |   Поворот -120 град   |     не найдено     |
|  42   |       227176       |      3562      |    8     |        6        |   Поворот -120 град   |   [-1072, -624]    |
|  43   |       227176       |      3020      |    65    |       53        |   Поворот -120 град   |   [-1822, -677]    |
|  44   |       227176       |      2760      |    9     |        1        |   Поворот -120 град   |     не найдено     |
|  45   |       227176       |      1801      |    18    |       14        |   Поворот -120 град   |   [-3106, -655]    |
|  46   |       227176       |      1500      |    21    |       21        |   Поворот -120 град   |   [-604, -1366]    |
|  47   |       227176       |      1945      |    28    |       25        |   Поворот -120 град   |   [-1291, -1329]   |
